"id","location","number","id_city"
766,ALGUMA RUA,s/n,5555
767,ALGUMA RUA,s/n,4193
782,ALGUMA RUA,"64",3142
785,ALGUMA RUA,s/n,5422
786,ALGUMA RUA,s/n,5433
787,ALGUMA RUA,s/n,5214
792,ALGUMA RUA,,5346
793,ALGUMA RUA,s/n,237
794,ALGUMA RUA,,5499
795,ALGUMA RUA,,4193
796,ALGUMA RUA,,5346
797,ALGUMA RUA,,237
828,ALGUMA RUA,"273",233
830,ALGUMA RUA,s/n,2933
832,ALGUMA RUA,,5310
833,ALGUMA RUA,,4451
1034,ALGUMA RUA,s/n,2310
835,ALGUMA RUA,s/n,3089
836,ALGUMA RUA,,2834
837,ALGUMA RUA,s/n,2484
838,ALGUMA RUA,s/n,2409
851,ALGUMA RUA,s/n,5195
780,ALGUMA RUA,"508",2090
784,ALGUMA RUA,SN,5549
